"시점","시도별",계,남자,여자
"2021","대구광역시",60.5,70.9,50.8
"2021","인천광역시",63.9,74.2,53.8
"2021","광주광역시",60.3,69.3,51.7
"2021","대전광역시",63.0,72.5,53.7
"2021","울산광역시",59.8,71.5,47.6
"2021","세종특별자치시",64.0,75.2,52.6
"2021","경기도",63.5,74.5,52.5
"2021","강원특별자치도",63.7,70.2,57.5
"2021","충청북도",65.0,74.0,55.8
"2021","충청남도",64.5,74.7,53.9
"2021","전북특별자치도",62.6,71.6,53.9
"2021","전라남도",66.2,74.9,57.5
"2021","경상북도",63.0,74.3,51.7
"2021","경상남도",63.2,73.3,53.2
"2021","제주도",69.6,75.5,63.8
"2022","서울특별시",62.5,71.1,54.8
"2022","부산광역시",58.9,68.4,50.1
"2022","대구광역시",60.9,70.8,51.7
"2022","인천광역시",64.8,74.9,55.0
"2022","광주광역시",60.4,69.5,51.7
"2022","대전광역시",63.1,73.1,53.4
"2022","울산광역시",61.1,72.8,48.8
"2022","세종특별자치시",65.0,77.2,53.1
"2022","경기도",65.7,76.5,55.0
"2022","강원특별자치도",63.9,69.4,58.5
"2022","충청북도",66.5,76.1,56.8
"2022","충청남도",65.8,75.7,55.5
"2022","전북특별자치도",63.7,71.7,56.1
"2022","전라남도",67.8,75.8,59.7
"2022","경상북도",64.5,74.8,54.1
"2022","경상남도",63.1,72.9,53.4
"2022","제주도",71.4,77.3,65.7
"2023","서울특별시",62.8,70.8,55.6
"2023","부산광역시",59.6,69.3,50.6
"2023","대구광역시",61.7,71.3,52.6
"2023","인천광역시",65.2,74.6,55.9
"2023","광주광역시",61.6,70.0,53.7
"2023","대전광역시",63.4,72.4,54.6
"2023","울산광역시",61.9,73.0,50.2
"2023","세종특별자치시",65.9,76.5,55.6
"2023","경기도",65.7,75.7,55.8
"2023","강원특별자치도",65.1,70.2,60.3
"2023","충청북도",67.0,77.5,56.2
"2023","충청남도",66.5,75.8,56.8
"2023","전북특별자치도",64.9,71.4,58.6
"2023","전라남도",68.4,75.3,61.5
"2023","경상북도",65.2,74.6,55.7
"2023","경상남도",63.6,71.5,55.5
"2023","제주도",70.6,76.9,64.3
"2024","서울특별시",63.7,71.2,56.8
"2024","부산광역시",59.6,68.2,51.6
"2024","대구광역시",60.0,69.3,51.3
"2024","인천광역시",65.6,74.3,57.2
"2024","광주광역시",62.5,70.9,54.3
"2024","대전광역시",62.5,71.1,54.1
"2024","울산광역시",62.1,73.1,50.5
"2024","세종특별자치시",66.4,75.9,57.1
"2024","경기도",65.8,74.9,56.6
"2024","강원특별자치도",65.3,70.9,59.9
"2024","충청북도",67.4,76.3,58.2
"2024","충청남도",66.7,76.1,56.8
"2024","전북특별자치도",65.4,71.4,59.6
"2024","전라남도",67.9,74.6,61.1
"2024","경상북도",65.7,74.1,57.2
"2024","경상남도",63.6,71.5,55.6
"2024","제주도",71.0,76.3,65.7
