시점,인구밀도,지역별
2021.10,15583.05,서울
2021.11,15575.6,서울
2021.12,15568.15,서울
2022.01,15560.7,서울
2022.02,15556.18,서울
2022.03,15551.65,서울
2022.04,15547.12,서울
2022.05,15542.6,서울
2022.06,15538.08,서울
2022.07,15533.55,서울
2022.08,15529.02,서울
2022.09,15524.5,서울
2022.10,15519.98,서울
2022.11,15515.45,서울
2022.12,15510.92,서울
2023.01,15506.4,서울
2015.01,439.0,세종
2015.02,445.89,세종
2015.03,452.78,세종
2015.04,459.68,세종
2015.05,466.57,세종
2015.06,473.46,세종
2015.07,480.35,세종
2015.08,487.24,세종
2015.09,494.13,세종
2015.10,501.03,세종
2015.11,507.92,세종
2015.12,514.81,세종
2016.01,521.7,세종
2016.02,527.81,세종
2016.03,533.92,세종
2016.04,540.03,세종
2016.05,546.13,세종
2016.06,552.24,세종
2016.07,558.35,세종
2016.08,564.46,세종
2016.09,570.57,세종
2016.10,576.67,세종
2016.11,582.78,세종
2016.12,588.89,세종
2017.01,595.0,세종
2017.02,601.41,세종
2017.03,607.82,세종
2017.04,614.23,세종
2017.05,620.63,세종
2017.06,627.04,세종
2017.07,633.45,세종
2017.08,639.86,세종
2017.09,646.27,세종
2017.10,652.67,세종
2017.11,659.08,세종
2017.12,665.49,세종
2018.01,671.9,세종
2018.02,676.52,세종
2018.03,681.13,세종
2018.04,685.75,세종
2018.05,690.37,세종
2018.06,694.98,세종
2018.07,699.6,세종
2018.08,704.22,세종
2018.09,708.83,세종
2018.10,713.45,세종
2018.11,718.07,세종
2018.12,722.68,세종
2019.01,727.3,세종
2019.02,730.13,세종
2019.03,732.97,세종
2019.04,735.8,세종
2019.05,738.63,세종
2019.06,741.47,세종
2019.07,744.3,세종
2019.08,747.13,세종
2019.09,749.97,세종
2019.10,752.8,세종
2019.11,755.63,세종
2019.12,758.47,세종
2020.01,761.3,세종
2020.02,763.5,세종
2020.03,765.7,세종
2020.04,767.9,세종
2020.05,770.10,세종
2020.06,772.3,세종
2020.07,774.5,세종
2020.08,776.7,세종
2020.09,778.9,세종
2020.10,781.10,세종
2020.11,783.3,세종
2020.12,785.5,세종
2021.01,787.7,세종
2021.02,790.63,세종
2021.03,793.57,세종
2021.04,796.5,세종
2021.05,799.43,세종
2021.06,802.37,세종
2021.07,805.3,세종
2021.08,808.23,세종
