시점,지역별,총인구수,출생아수,합계출산율,유치원,초등학교,중학교,고등학교,사설학원수,사교육참여율,매우효과있음,약간효과있음,효과보통,별로효과없음,전혀효과없음,효과모름,매우만족,약간만족,만족보통,약간불만,매우불만
2015,경기도,12479061.0,113495,1.272,20.49,25.31,30.71,30.9,20106.0,72.3,,,,,,,,,,,
2015,경상남도,3334524.0,29537,1.437,21.07,21.5,29.18,29.75,5945.0,66.9,,,,,,,,,,,
2015,경상북도,2680294.0,22310,1.464,18.81,20.58,25.77,27.51,3507.0,64.5,,,,,,,,,,,
2015,광주광역시,1502881.0,12441,1.207,19.27,22.83,30.1,33.79,3535.0,68.8,,,,,,,,,,,
2015,대구광역시,2466052.0,19438,1.216,20.15,22.26,28.63,31.07,3639.0,71.3,,,,,,,,,,,
2015,대전광역시,1538394.0,13774,1.277,19.98,22.38,29.92,31.49,2210.0,70.2,,,,,,,,,,,
2015,부산광역시,3448737.0,26645,1.139,22.75,21.84,28.0,27.9,4696.0,67.8,,,,,,,,,,,
2015,서울,9904312.0,83005,1.001,21.38,24.0,28.49,30.13,13989.0,74.3,,,,,,,,,,,
2015,세종특별자치시,204088.0,2708,1.893,18.18,19.87,20.85,23.24,169.0,67.7,,,,,,,,,,,
2015,울산광역시,1166615.0,11732,1.486,21.82,22.91,28.52,31.41,2479.0,69.6,,,,,,,,,,,
2015,인천광역시,2890451.0,25491,1.216,20.2,23.26,30.49,29.2,3209.0,65.9,,,,,,,,,,,
2015,전라남도,1799044.0,15061,1.549,14.84,18.72,26.28,27.13,2737.0,59.6,,,,,,,,,,,
2015,전북특별자치도,1834114.0,14087,1.352,16.42,19.5,28.75,28.49,3975.0,60.6,,,,,,,,,,,
