시점,사교육참여율,지역별
2014.04,70.550,대구
2014.05,70.633,대구
2014.06,70.717,대구
2014.07,70.800,대구
2014.08,70.883,대구
2014.09,70.967,대구
2014.10,71.050,대구
2014.11,71.133,대구
2014.12,71.217,대구
2015.01,71.300,대구
2015.02,71.100,대구
2015.03,70.900,대구
2015.04,70.700,대구
2015.05,70.500,대구
2015.06,70.300,대구
2015.07,70.100,대구
2015.08,69.900,대구
2015.09,69.700,대구
2015.10,69.500,대구
2015.11,69.300,대구
2015.12,69.100,대구
2016.01,68.900,대구
2016.02,69.325,대구
2016.03,69.750,대구
2016.04,70.175,대구
2016.05,70.600,대구
2016.06,71.025,대구
2016.07,71.450,대구
2016.08,71.875,대구
2016.09,72.300,대구
2016.10,72.725,대구
2016.11,73.150,대구
2016.12,73.575,대구
2017.01,74.000,대구
2017.02,73.975,대구
2017.03,73.950,대구
2017.04,73.925,대구
2017.05,73.900,대구
2017.06,73.875,대구
2017.07,73.850,대구
2017.08,73.825,대구
2017.09,73.800,대구
2017.10,73.775,대구
2017.11,73.750,대구
2017.12,73.725,대구
2018.01,73.700,대구
2018.02,73.850,대구
2018.03,74.000,대구
2018.04,74.150,대구
2018.05,74.300,대구
2018.06,74.450,대구
2018.07,74.600,대구
2018.08,74.750,대구
2018.09,74.900,대구
2018.10,75.050,대구
2018.11,75.200,대구
2018.12,75.350,대구
2019.01,75.500,대구
2019.02,74.700,대구
2019.03,73.900,대구
2019.04,73.100,대구
2019.05,72.300,대구
2019.06,71.500,대구
2019.07,70.700,대구
2019.08,69.900,대구
2019.09,69.100,대구
2019.10,68.300,대구
2019.11,67.500,대구
2019.12,66.700,대구
2020.01,65.900,대구
2020.02,67.000,대구
2020.03,68.100,대구
2020.04,69.200,대구
2020.05,70.300,대구
2020.06,71.400,대구
2020.07,72.500,대구
2020.08,73.600,대구
2020.09,74.700,대구
2020.10,75.800,대구
2020.11,76.900,대구
2020.12,78.000,대구
2021.01,79.100,대구
2021.02,79.167,대구
2021.03,79.233,대구
2021.04,79.300,대구
2021.05,79.367,대구
2021.06,79.433,대구
2021.07,79.500,대구
2021.08,79.567,대구
2021.09,79.633,대구
2021.10,79.700,대구
2021.11,79.767,대구
2021.12,79.833,대구
2022.01,79.900,대구
2022.02,79.925,대구
2022.03,79.950,대구
2022.04,79.975,대구
2022.05,80.000,대구
2022.06,80.025,대구
2022.07,80.050,대구
2022.08,80.075,대구
2022.09,80.100,대구
2022.10,80.125,대구
2022.11,80.150,대구
2022.12,80.175,대구
2023.01,80.200,대구
2009.01,74.200,대전
2009.02,74.300,대전
2009.03,74.400,대전
2009.04,74.500,대전
2009.05,74.600,대전
2009.06,74.700,대전
2009.07,74.800,대전
2009.08,74.900,대전
2009.09,75.000,대전
2009.10,75.100,대전
2009.11,75.200,대전
2009.12,75.300,대전
2010.01,75.400,대전
2010.02,75.217,대전
2010.03,75.033,대전
2010.04,74.850,대전
2010.05,74.667,대전
2010.06,74.483,대전
2010.07,74.300,대전
2010.08,74.117,대전
2010.09,73.933,대전
2010.10,73.750,대전
2010.11,73.567,대전
2010.12,73.383,대전
2011.01,73.200,대전
2011.02,73.217,대전
2011.03,73.233,대전
2011.04,73.250,대전
2011.05,73.267,대전
2011.06,73.283,대전
2011.07,73.300,대전
2011.08,73.317,대전
2011.09,73.333,대전
2011.10,73.350,대전
2011.11,73.367,대전
2011.12,73.383,대전
2012.01,73.400,대전
2012.02,73.342,대전
2012.03,73.283,대전
2012.04,73.225,대전
2012.05,73.167,대전
2012.06,73.108,대전
2012.07,73.050,대전
2012.08,72.992,대전
2012.09,72.933,대전
2012.10,72.875,대전
2012.11,72.817,대전
2012.12,72.758,대전
2013.01,72.700,대전
2013.02,72.517,대전
2013.03,72.333,대전
2013.04,72.150,대전
2013.05,71.967,대전
2013.06,71.783,대전
2013.07,71.600,대전
2013.08,71.417,대전
2013.09,71.233,대전
2013.10,71.050,대전
2013.11,70.867,대전
2013.12,70.683,대전
2014.01,70.500,대전
2014.02,70.475,대전
2014.03,70.450,대전
2014.04,70.425,대전
2014.05,70.400,대전
2014.06,70.375,대전
2014.07,70.350,대전
2014.08,70.325,대전
2014.09,70.300,대전
2014.10,70.275,대전
2014.11,70.250,대전
2014.12,70.225,대전
2015.01,70.200,대전
2015.02,70.083,대전
2015.03,69.967,대전
2015.04,69.850,대전
2015.05,69.733,대전
2015.06,69.617,대전
2015.07,69.500,대전
2015.08,69.383,대전
2015.09,69.267,대전
2015.10,69.150,대전
2015.11,69.033,대전
2015.12,68.917,대전
2016.01,68.800,대전
2016.02,69.125,대전
2016.03,69.450,대전
2016.04,69.775,대전
2016.05,70.100,대전
2016.06,70.425,대전
2016.07,70.750,대전
2016.08,71.075,대전
2016.09,71.400,대전
2016.10,71.725,대전
2016.11,72.050,대전
2016.12,72.375,대전
2017.01,72.700,대전
2017.02,72.792,대전
2017.03,72.883,대전
2017.04,72.975,대전
2017.05,73.067,대전
2017.06,73.158,대전
2017.07,73.250,대전
2017.08,73.342,대전
2017.09,73.433,대전
2017.10,73.525,대전
2017.11,73.617,대전
2017.12,73.708,대전
2018.01,73.800,대전
2018.02,73.858,대전
2018.03,73.917,대전
2018.04,73.975,대전
2018.05,74.033,대전
2018.06,74.092,대전
2018.07,74.150,대전
2018.08,74.208,대전
2018.09,74.267,대전
2018.10,74.325,대전
2018.11,74.383,대전
2018.12,74.442,대전
2019.01,74.500,대전
2019.02,73.975,대전
2019.03,73.450,대전
2019.04,72.925,대전
2019.05,72.400,대전
2019.06,71.875,대전
2019.07,71.350,대전
2019.08,70.825,대전
2019.09,70.300,대전
2019.10,69.775,대전
2019.11,69.250,대전
2019.12,68.725,대전
2020.01,68.200,대전
2020.02,68.817,대전
2020.03,69.433,대전
2020.04,70.050,대전
2020.05,70.667,대전
2020.06,71.283,대전
2020.07,71.900,대전
2020.08,72.517,대전
2020.09,73.133,대전
2020.10,73.750,대전
2020.11,74.367,대전
2020.12,74.983,대전
2021.01,75.600,대전
2021.02,75.775,대전
